lang,term,distance,dim,rank,target_lang,target_term,distance_value
en,black,bottleneck,0,1,ru,зелёный,0.07564999163150787
en,black,bottleneck,0,2,ru,красный,0.07755237072706223
en,black,bottleneck,0,3,ru,серый,0.09177511930465698
en,black,bottleneck,0,4,ru,голубой,0.09482613950967789
en,black,bottleneck,0,5,ru,чёрный,0.0951906368136406
en,blue,bottleneck,0,1,ru,зелёный,0.061811864376068115
en,blue,bottleneck,0,2,ru,серый,0.07172898948192596
en,blue,bottleneck,0,3,ru,красный,0.07803729921579361
en,blue,bottleneck,0,4,es,verde,0.08007584512233734
en,blue,bottleneck,0,5,ru,голубой,0.08843377232551575
en,brown,bottleneck,0,1,es,verde,0.07496039569377899
en,brown,bottleneck,0,2,es,rosa,0.08797133713960648
en,brown,bottleneck,0,3,ru,красный,0.10139573365449905
en,brown,bottleneck,0,4,ru,белый,0.10912229865789413
en,brown,bottleneck,0,5,ru,серый,0.11118032783269882
en,gray,bottleneck,0,1,ru,серый,0.04985291138291359
en,gray,bottleneck,0,2,es,blanco,0.05095581337809563
en,gray,bottleneck,0,3,es,verde,0.05174689739942551
en,gray,bottleneck,0,4,ru,синий,0.06051567196846008
en,gray,bottleneck,0,5,ru,зелёный,0.06434055417776108
en,green,bottleneck,0,1,ru,красный,0.05833430215716362
en,green,bottleneck,0,2,ru,зелёный,0.06707550585269928
en,green,bottleneck,0,3,ru,серый,0.06880947202444077
en,green,bottleneck,0,4,es,verde,0.08481116592884064
en,green,bottleneck,0,5,ru,голубой,0.0923214927315712
en,orange,bottleneck,0,1,ru,зелёный,0.06529967486858368
en,orange,bottleneck,0,2,ru,серый,0.07023853808641434
en,orange,bottleneck,0,3,es,verde,0.07673926651477814
en,orange,bottleneck,0,4,ru,красный,0.08168760687112808
en,orange,bottleneck,0,5,ru,синий,0.08332547545433044
en,pink,bottleneck,0,1,es,verde,0.05421404168009758
en,pink,bottleneck,0,2,ru,белый,0.0643836259841919
en,pink,bottleneck,0,3,es,blanco,0.06509964913129807
en,pink,bottleneck,0,4,ru,серый,0.06995465606451035
en,pink,bottleneck,0,5,es,naranja,0.07138092070817947
en,purple,bottleneck,0,1,es,blanco,0.06182907894253731
en,purple,bottleneck,0,2,ru,зелёный,0.06426820158958435
en,purple,bottleneck,0,3,ru,синий,0.06970912963151932
en,purple,bottleneck,0,4,es,gris,0.07686719298362732
en,purple,bottleneck,0,5,es,verde,0.07945335656404495
en,red,bottleneck,0,1,ru,зелёный,0.05097775533795357
en,red,bottleneck,0,2,ru,чёрный,0.055007606744766235
en,red,bottleneck,0,3,ru,красный,0.05846367031335831
en,red,bottleneck,0,4,es,verde,0.06606481224298477
en,red,bottleneck,0,5,ru,белый,0.06612015515565872
en,white,bottleneck,0,1,ru,красный,0.08070825785398483
en,white,bottleneck,0,2,es,verde,0.08170291036367416
en,white,bottleneck,0,3,ru,серый,0.08637098222970963
en,white,bottleneck,0,4,ru,чёрный,0.09769296646118164
en,white,bottleneck,0,5,ru,зелёный,0.10556722432374954
en,yellow,bottleneck,0,1,es,verde,0.05530562624335289
en,yellow,bottleneck,0,2,ru,чёрный,0.05603093281388283
en,yellow,bottleneck,0,3,ru,серый,0.0575091615319252
en,yellow,bottleneck,0,4,ru,жёлтый,0.06074468791484833
en,yellow,bottleneck,0,5,ru,зелёный,0.062045514583587646
es,amarillo,bottleneck,0,1,ru,оранжевый,0.05681244656443596
es,amarillo,bottleneck,0,2,ru,синий,0.06855278462171555
es,amarillo,bottleneck,0,3,en,gray,0.0751941055059433
es,amarillo,bottleneck,0,4,en,yellow,0.07628610730171204
es,amarillo,bottleneck,0,5,ru,серый,0.07752431929111481
es,azul,bottleneck,0,1,en,gray,0.07419193536043167
es,azul,bottleneck,0,2,en,pink,0.07485729455947876
es,azul,bottleneck,0,3,en,purple,0.08181740343570709
es,azul,bottleneck,0,4,ru,оранжевый,0.08868937194347382
es,azul,bottleneck,0,5,ru,синий,0.09609764814376831
es,blanco,bottleneck,0,1,en,gray,0.05095581337809563
es,blanco,bottleneck,0,2,en,purple,0.06182907894253731
es,blanco,bottleneck,0,3,en,pink,0.06509964913129807
es,blanco,bottleneck,0,4,ru,серый,0.06693008542060852
es,blanco,bottleneck,0,5,ru,синий,0.0695251077413559
es,gris,bottleneck,0,1,ru,синий,0.06816204637289047
es,gris,bottleneck,0,2,ru,серый,0.07306194305419922
es,gris,bottleneck,0,3,en,gray,0.07575011998414993
es,gris,bottleneck,0,4,en,purple,0.07686719298362732
es,gris,bottleneck,0,5,ru,розовый,0.0778885930776596
es,marrón,bottleneck,0,1,ru,оранжевый,0.10169795900583267
es,marrón,bottleneck,0,2,en,pink,0.10172830522060394
es,marrón,bottleneck,0,3,ru,синий,0.10515527427196503
es,marrón,bottleneck,0,4,ru,коричневый,0.1097639799118042
es,marrón,bottleneck,0,5,ru,серый,0.11618693917989731
es,morado,bottleneck,0,1,en,pink,0.09457794576883316
es,morado,bottleneck,0,2,ru,оранжевый,0.09571082144975662
es,morado,bottleneck,0,3,en,purple,0.10227612406015396
es,morado,bottleneck,0,4,en,gray,0.10261128842830658
es,morado,bottleneck,0,5,ru,синий,0.10327368974685669
es,naranja,bottleneck,0,1,en,pink,0.07138092070817947
es,naranja,bottleneck,0,2,ru,синий,0.0789792537689209
es,naranja,bottleneck,0,3,ru,коричневый,0.08759187906980515
es,naranja,bottleneck,0,4,en,purple,0.08985806256532669
es,naranja,bottleneck,0,5,ru,оранжевый,0.09232307225465775
