metric,dim,test,observed,p_value,effect_size
wasserstein,1,per-domain,0.0012572859282964366,9.999000099990002e-05,56.759833884838756
wasserstein,1,per-term-синий,0.07904555648565292,0.0081991800819918,-2.6444395963079597
wasserstein,1,per-term-голубой,0.07916092127561569,0.6774322567743226,-0.4176461339702061
wasserstein,1,ru-blue-zoom,0.000907599925994873,0.26587341265873415,1.1030442327813146
wasserstein,0,per-domain,0.06018254023697156,9.999000099990002e-05,59.768978709127154
wasserstein,0,per-term-синий,0.6762128472328186,0.045995400459954004,-2.018560206377001
wasserstein,0,per-term-голубой,0.6770144104957581,0.1334866513348665,-1.4828803693037407
wasserstein,0,ru-blue-zoom,0.04296606779098511,0.2626737326267373,1.1025108024354175
bottleneck,0,per-domain,0.014477514459584145,9.999000099990002e-05,61.92417043704937
bottleneck,0,per-term-синий,0.26266151666641235,0.021597840215978402,-2.2906791101781567
bottleneck,0,per-term-голубой,0.2626977562904358,0.0334966503349665,-2.152944337780753
bottleneck,0,ru-blue-zoom,0.012953251600265503,0.24267573242675733,1.1503882235200036
bottleneck,1,per-domain,0.0005490117112651668,9.999000099990002e-05,53.93284092479897
bottleneck,1,per-term-синий,0.04652062803506851,0.0023997600239976003,-3.093585714492217
bottleneck,1,per-term-голубой,0.04659498855471611,0.8807119288071192,0.1492517754338426
bottleneck,1,ru-blue-zoom,0.0008933544158935547,0.022397760223977603,2.2845760812461995
