lang,term,n,split_mean,split_std,split_p05,split_p95,skipped
en,black,20,0.6795746532082557,0.01300290188170856,0.6661390066146851,0.7043746799230576,False
en,blue,20,0.6436625462770462,0.012851044538135457,0.632506737112999,0.6695677369832993,False
en,brown,20,0.7275972321629525,0.013355609072840403,0.7136896908283233,0.7553635627031327,False
en,gray,20,0.7694751727581024,0.02236994596761432,0.750198370218277,0.81919726729393,False
en,green,20,0.6974489226937294,0.014067681278788043,0.6831506192684174,0.7242642998695373,False
en,orange,20,0.6049237349629402,0.010139202128212045,0.5957058072090149,0.6198806673288345,False
en,pink,20,0.7172638282179833,0.015996179781981035,0.7021424472332001,0.7512657463550567,False
en,purple,20,0.7040618017315865,0.015252988999222727,0.6912638485431671,0.7319561392068862,False
en,red,20,0.7075612702965737,0.012718223481303886,0.6931304931640625,0.7331667423248291,False
en,white,20,0.7659653553366661,0.02036868568411842,0.7482250660657883,0.8031998127698898,False
en,yellow,20,0.7012768289446831,0.013798284909790248,0.6883013546466827,0.7309031635522842,False
es,amarillo,20,0.6222150394320488,0.01040105076712464,0.6106124877929687,0.6412955671548843,False
es,azul,20,0.6811514821648598,0.013061850091321377,0.6664678573608398,0.7050822645425796,False
es,blanco,20,0.6725606137514114,0.012114426395880984,0.6602628141641617,0.698485991358757,False
es,gris,20,0.597499227821827,0.012200779693801336,0.5866119742393494,0.622997510433197,False
es,marrón,20,0.5985676568746566,0.010161419658090629,0.586646381020546,0.6154966294765473,False
es,morado,20,0.6881348446011544,0.015347255527830376,0.6743061453104019,0.7196532815694808,False
es,naranja,20,0.5596030882000923,0.009543851153582876,0.5502984315156937,0.5761124163866043,False
es,negro,20,0.6639426553249359,0.012013339291653949,0.6510965079069138,0.6854685872793198,False
es,rojo,20,0.666242967247963,0.013791022189271198,0.6522346138954163,0.6974715918302535,False
es,rosa,20,0.6005255424976349,0.011437606351320273,0.5894495397806168,0.6233155488967895,False
es,verde,20,0.6713570964336395,0.014075692424050308,0.6557882994413375,0.6974143415689469,False
ru,белый,20,0.5858918887376785,0.009088955367532202,0.5767163276672364,0.6051748901605606,False
ru,голубой,20,0.5839366641640663,0.00934724372515977,0.5756221294403077,0.6063788086175919,False
ru,жёлтый,20,0.4335577844083309,0.0045736626984387895,0.42952456176280973,0.4415122479200363,False
ru,зелёный,20,0.5496695563197136,0.009114615484998902,0.5411610037088395,0.569163703918457,False
ru,коричневый,20,0.46022737726569174,0.005079086842475188,0.4546936869621277,0.467210154235363,False
ru,красный,20,0.6654379284381866,0.01451318699838012,0.6517441183328628,0.6896531581878661,False
ru,оранжевый,20,0.5341644725203514,0.009879580571155963,0.5263378620147705,0.5479691058397292,False
ru,розовый,20,0.4743021933734417,0.0043580522729158066,0.46951547265052795,0.48380622565746306,False
ru,серый,20,0.44998942270874975,0.004379582293716206,0.4455670461058617,0.46014018207788465,False
ru,синий,20,0.568949646949768,0.010002506982544505,0.5602899372577668,0.584287416934967,False
ru,фиолетовый,20,0.5038278436660767,0.006169950136749831,0.4978254929184914,0.5160029351711273,False
ru,чёрный,20,0.5013768537342549,0.0062628895551931725,0.4957108125090599,0.5117090433835983,False
